name,price
CryptoDino 02307,x
CryptoDino 08199,x
CryptoDino 02855,80000
CryptoDino 05530,x
CryptoDino 05199,100000
CryptoDino 06331,x
CryptoDino 04786,95000
CryptoDino 07564,3888
CryptoDino 09928,30000
CryptoDino 00651,x
CryptoDino 07868,2368
CryptoDino 06783,99999
CryptoDino 05539,x
CryptoDino 08589,x
CryptoDino 05162,x
CryptoDino 02730,x
CryptoDino 07367,x
CryptoDino 00480,x
CryptoDino 04444,2300
CryptoDino 01301,x
CryptoDino 09725,x
CryptoDino 08453,x
CryptoDino 00138,x
CryptoDino 01543,3000
CryptoDino 09913,14500
CryptoDino 03651,x
CryptoDino 04600,1800
CryptoDino 04748,x
CryptoDino 07927,18000
CryptoDino 00708,2488
CryptoDino 03513,x
CryptoDino 06076,x
CryptoDino 01192,x
CryptoDino 00742,22000
CryptoDino 06195,x
CryptoDino 09330,2499.99
CryptoDino 04326,x
CryptoDino 09053,x
CryptoDino 04734,x
CryptoDino 00567,x
CryptoDino 04827,x
CryptoDino 08267,x
CryptoDino 05745,x
CryptoDino 00245,x
CryptoDino 08380,21000
CryptoDino 04825,x
CryptoDino 08662,2888
CryptoDino 05752,20000
CryptoDino 07177,2400
CryptoDino 06509,1749.69
CryptoDino 04911,x
CryptoDino 02624,x
CryptoDino 05818,x
CryptoDino 01462,x
CryptoDino 08834,x
CryptoDino 02782,x
CryptoDino 02067,x
CryptoDino 00772,x
CryptoDino 02445,x
CryptoDino 08715,16800
CryptoDino 04848,65000
CryptoDino 07976,3199
CryptoDino 09728,2000
CryptoDino 04751,x
CryptoDino 01332,7500
CryptoDino 08888,x
CryptoDino 00959,75000
CryptoDino 06475,x
CryptoDino 06279,x
CryptoDino 09820,x
CryptoDino 09575,x
CryptoDino 05668,35000
CryptoDino 00445,28000
CryptoDino 03674,8000
CryptoDino 02173,x
CryptoDino 06105,x
CryptoDino 04316,19999
CryptoDino 00501,x
CryptoDino 04408,10000
CryptoDino 04938,50000
CryptoDino 02650,x
CryptoDino 08065,8880
CryptoDino 01082,1249.69
CryptoDino 04045,2800
CryptoDino 08979,x
CryptoDino 05843,x
CryptoDino 02413,7500
CryptoDino 07500,2999
CryptoDino 01509,x
CryptoDino 09219,x
CryptoDino 06216,x
CryptoDino 03600,x
CryptoDino 05881,x
CryptoDino 01268,2900
CryptoDino 02639,1250
CryptoDino 08980,24999
CryptoDino 05316,x
CryptoDino 08672,x
CryptoDino 06986,2950
CryptoDino 00487,6500
CryptoDino 09333,5000
CryptoDino 05175,75000
CryptoDino 02919,3750
CryptoDino 03830,x
CryptoDino 06716,x
CryptoDino 04249,2200
CryptoDino 05917,x
CryptoDino 09979,x
CryptoDino 04605,x
CryptoDino 08182,2000
CryptoDino 06281,x
CryptoDino 03468,x
CryptoDino 08308,x
CryptoDino 05737,x
CryptoDino 01557,1500
CryptoDino 04122,40000
CryptoDino 01836,x
CryptoDino 03689,x
CryptoDino 06339,x
CryptoDino 01389,x
CryptoDino 07534,1250
CryptoDino 07727,150000
CryptoDino 08252,3400
CryptoDino 04350,x
CryptoDino 00759,x
CryptoDino 02002,2500
CryptoDino 05194,x
CryptoDino 07168,50000
CryptoDino 02453,4999
CryptoDino 02430,x
CryptoDino 08139,7500
CryptoDino 05713,x
CryptoDino 01635,x
CryptoDino 04478,x
CryptoDino 08678,x
CryptoDino 08430,5000
CryptoDino 08699,x
CryptoDino 09973,x
CryptoDino 04407,88888
CryptoDino 01423,x
CryptoDino 02371,x
CryptoDino 01728,x
CryptoDino 07439,30000
CryptoDino 02460,9999
CryptoDino 03399,x
CryptoDino 01238,44444
CryptoDino 09058,x
CryptoDino 04586,3900
CryptoDino 03323,50000
CryptoDino 06029,x
CryptoDino 08975,4999
CryptoDino 00108,5000
CryptoDino 08033,x
CryptoDino 09168,1999
CryptoDino 09037,x
CryptoDino 06003,x
CryptoDino 06445,1200
CryptoDino 06630,6888
CryptoDino 04197,6969
CryptoDino 03880,x
CryptoDino 07957,50000
CryptoDino 06311,x
CryptoDino 04212,x
CryptoDino 05285,x
CryptoDino 00815,2950
CryptoDino 01643,7888
CryptoDino 00465,x
CryptoDino 01336,x
CryptoDino 00881,1881.991
CryptoDino 09934,7500
CryptoDino 03685,50000
CryptoDino 09821,x
CryptoDino 01504,x
CryptoDino 04604,4990
CryptoDino 04500,1200
CryptoDino 01795,x
CryptoDino 04993,x
CryptoDino 08676,1050
CryptoDino 07309,x
CryptoDino 05044,x
CryptoDino 06936,x
CryptoDino 00451,x
CryptoDino 06940,x
CryptoDino 05291,x
CryptoDino 07297,4000
CryptoDino 05307,12345
CryptoDino 07798,4500
CryptoDino 00055,1098
CryptoDino 08640,x
CryptoDino 05842,x
CryptoDino 03992,1000
CryptoDino 00593,x
CryptoDino 03293,x
CryptoDino 07457,150000
CryptoDino 07751,2999
CryptoDino 07571,9999
CryptoDino 08208,3750
CryptoDino 07430,x
CryptoDino 02168,x
CryptoDino 09398,x
CryptoDino 05608,x
CryptoDino 07898,900
CryptoDino 02450,x
CryptoDino 04515,3200
CryptoDino 01451,4000
CryptoDino 07588,x
CryptoDino 03069,x
CryptoDino 06629,x
CryptoDino 02439,50000
CryptoDino 09365,2800
CryptoDino 03914,1999
CryptoDino 07595,x
CryptoDino 04782,x
CryptoDino 02429,x
CryptoDino 06431,x
CryptoDino 04544,x
CryptoDino 04789,x
CryptoDino 04355,x
CryptoDino 00150,5000
CryptoDino 09812,x
CryptoDino 00411,x
CryptoDino 08697,x
CryptoDino 04984,4998
CryptoDino 04686,x
CryptoDino 02334,x
CryptoDino 01588,5900
CryptoDino 01210,x
CryptoDino 00984,8000
CryptoDino 06434,2150
CryptoDino 04025,x
CryptoDino 03618,1400
CryptoDino 03743,3500
CryptoDino 09773,x
CryptoDino 05123,x
CryptoDino 03770,x
CryptoDino 04035,x
CryptoDino 03026,25000
CryptoDino 08454,x
CryptoDino 03757,x
CryptoDino 08568,x
CryptoDino 02546,x
CryptoDino 04406,x
CryptoDino 03514,x
CryptoDino 07808,5500
CryptoDino 04764,2999
CryptoDino 06966,x
CryptoDino 05425,250000
CryptoDino 03631,x
CryptoDino 03291,9999
CryptoDino 08447,x
CryptoDino 04456,x
CryptoDino 01712,x
CryptoDino 05672,x
CryptoDino 07735,8888
CryptoDino 01569,x
CryptoDino 04235,15000
CryptoDino 08701,x
CryptoDino 05936,3899.01
CryptoDino 03183,x
CryptoDino 00930,x
CryptoDino 05339,15000
CryptoDino 05277,x
CryptoDino 01479,x
CryptoDino 04289,x
CryptoDino 03539,x
CryptoDino 04981,x
CryptoDino 00982,x
CryptoDino 04393,1399
CryptoDino 05814,x
CryptoDino 02576,x
CryptoDino 09454,5130
CryptoDino 03903,x
CryptoDino 06903,x
CryptoDino 07348,2000
CryptoDino 00682,1198
CryptoDino 03027,x
CryptoDino 08253,x
CryptoDino 09547,1370
CryptoDino 09914,x
CryptoDino 06753,x
CryptoDino 02927,x
CryptoDino 02891,x
CryptoDino 02660,1400
CryptoDino 02808,3050
CryptoDino 07558,450.01
CryptoDino 06245,4321
CryptoDino 01597,x
CryptoDino 08074,4750
CryptoDino 03842,x
CryptoDino 00396,x
CryptoDino 07341,x
CryptoDino 02960,6000
CryptoDino 00282,x
CryptoDino 06122,x
CryptoDino 05250,x
CryptoDino 03917,1200
CryptoDino 08039,x
CryptoDino 02210,x
CryptoDino 05504,x
CryptoDino 08931,6500
CryptoDino 07734,x
CryptoDino 02079,800
CryptoDino 02309,x
CryptoDino 08970,850
CryptoDino 04718,x
CryptoDino 01057,x
CryptoDino 08757,2000
CryptoDino 07412,2500
CryptoDino 02224,10000
CryptoDino 07436,x
CryptoDino 02545,10000
CryptoDino 02346,x
CryptoDino 09390,1450
CryptoDino 04859,x
CryptoDino 04881,x
CryptoDino 06439,2150
CryptoDino 09573,x
CryptoDino 00317,2999
CryptoDino 08357,x
CryptoDino 04775,x
CryptoDino 05055,849
CryptoDino 07893,x
CryptoDino 00700,x
CryptoDino 00314,x
CryptoDino 01637,55000
CryptoDino 02060,x
CryptoDino 02578,x
CryptoDino 05912,x
CryptoDino 04950,4999
CryptoDino 03870,800
CryptoDino 00302,1690
CryptoDino 03019,x
CryptoDino 05449,x
CryptoDino 00942,2444
CryptoDino 02871,x
CryptoDino 06071,x
CryptoDino 04207,500
CryptoDino 04328,x
CryptoDino 03957,x
CryptoDino 09196,20000
CryptoDino 07087,x
CryptoDino 08993,800
CryptoDino 06487,x
CryptoDino 00292,x
CryptoDino 08280,x
CryptoDino 09431,x
CryptoDino 03541,x
CryptoDino 04780,x
CryptoDino 01416,x
CryptoDino 08317,3444
CryptoDino 08560,1999
CryptoDino 01442,x
CryptoDino 01281,x
CryptoDino 01329,x
CryptoDino 04504,70000
CryptoDino 05369,x
CryptoDino 00201,1200
CryptoDino 07003,x
CryptoDino 00727,x
CryptoDino 06219,x
CryptoDino 08362,x
CryptoDino 03381,980
CryptoDino 00817,x
CryptoDino 01736,x
CryptoDino 06720,x
CryptoDino 09785,x
CryptoDino 04967,x
CryptoDino 07712,500
CryptoDino 09032,x
CryptoDino 06874,1000
CryptoDino 00523,499
CryptoDino 00082,x
CryptoDino 04145,x
CryptoDino 01306,x
CryptoDino 05286,4000
CryptoDino 05611,x
CryptoDino 07994,975
CryptoDino 08837,x
CryptoDino 02409,x
CryptoDino 03924,x
CryptoDino 05553,x
CryptoDino 06949,10000
CryptoDino 00863,15000
CryptoDino 05631,x
CryptoDino 03591,x
CryptoDino 06551,1999
CryptoDino 06237,1000
CryptoDino 07416,3000
CryptoDino 04955,x
CryptoDino 08172,x
CryptoDino 01131,15000
CryptoDino 04128,x
CryptoDino 07327,x
CryptoDino 00119,x
CryptoDino 03400,x
CryptoDino 08388,x
CryptoDino 04856,2050
CryptoDino 02200,1299.99
CryptoDino 05450,x
CryptoDino 05791,x
CryptoDino 02328,45000
CryptoDino 04610,x
CryptoDino 06714,3500
CryptoDino 04808,x
CryptoDino 08095,1450
CryptoDino 09475,x
