name,rarityRank,id
0092,1,92
1421,2,1421
0066,3,66
0335,4,335
0298,5,298
0136,6,136
0056,7,56
0115,8,115
0107,9,107
0017,10,17
0410,11,410
0357,12,357
0452,13,452
0344,14,344
0189,15,189
0390,16,390
0042,17,42
1442,18,1442
0001,19,1
0184,20,184
0267,21,267
0413,22,413
0070,23,70
1236,24,1236
1281,25,1281
0114,26,114
0418,27,418
1453,28,1453
1195,29,1195
0274,30,274
0640,31,640
0313,32,313
1334,33,1334
1363,34,1363
1124,35,1124
0628,36,628
1024,37,1024
0533,38,533
0992,39,992
0613,40,613
1000,41,1000
0695,42,695
0964,43,964
0194,44,194
1357,45,1357
0803,46,803
0632,47,632
1167,48,1167
0489,49,489
0694,50,694
0499,51,499
1130,52,1130
0225,53,225
0829,54,829
1434,55,1434
0354,56,354
0208,57,208
0229,58,229
0002,59,2
0422,60,422
0033,61,33
1422,62,1422
0623,63,623
1347,64,1347
0262,65,262
0106,66,106
0763,67,763
0483,68,483
0135,69,135
0965,70,965
0465,71,465
0466,72,466
0207,73,207
0468,74,468
0302,75,302
0211,76,211
0420,77,420
0121,78,121
0023,79,23
0020,80,20
0293,81,293
0389,82,389
0486,83,486
0490,84,490
0069,85,69
0108,86,108
0462,87,462
1198,88,1198
0492,89,492
0424,90,424
0498,91,498
0383,92,383
0393,93,393
0006,94,6
0009,95,9
0937,96,937
0451,97,451
0111,98,111
0140,99,140
0478,100,478
0129,101,129
0493,102,493
0239,103,239
0067,104,67
0358,105,358
0251,106,251
0214,107,214
0024,108,24
0475,109,475
0255,110,255
0134,111,134
0003,112,3
0327,113,327
0487,114,487
0205,115,205
0329,116,329
0425,117,425
0198,118,198
0027,119,27
0130,120,130
0212,121,212
0463,122,463
0439,123,439
0079,124,79
0090,125,90
0494,126,494
0153,127,153
0173,128,173
0210,129,210
0099,130,99
0126,131,126
0294,132,294
0441,133,441
1004,134,1004
0454,135,454
0429,136,429
0148,137,148
0232,138,232
1143,139,1143
0004,140,4
0385,141,385
0658,142,658
0167,143,167
0128,144,128
0242,145,242
0137,146,137
0455,147,455
0904,148,904
0013,149,13
1044,150,1044
1200,151,1200
0102,152,102
0028,153,28
0215,154,215
0271,155,271
0467,156,467
1486,157,1486
0131,158,131
0161,159,161
0480,160,480
1260,161,1260
1468,162,1468
0412,163,412
0268,164,268
0050,165,50
0485,166,485
0217,167,217
0362,168,362
0150,169,150
0052,170,52
0180,171,180
0237,172,237
1040,173,1040
0142,174,142
0250,175,250
0138,176,138
0019,177,19
0269,178,269
0404,179,404
0154,180,154
0081,181,81
0581,182,581
0234,183,234
0523,184,523
0034,185,34
1458,186,1458
0469,187,469
1016,188,1016
1335,189,1335
0014,190,14
0346,191,346
0495,192,495
0123,193,123
0522,194,522
0682,195,682
0288,196,288
0146,197,146
0156,198,156
0570,199,570
0700,200,700
0158,201,158
1222,202,1222
0958,203,958
0101,204,101
0359,205,359
0604,206,604
0717,207,717
0416,208,416
1454,209,1454
0174,210,174
0152,211,152
0426,212,426
0045,213,45
0837,214,837
0481,215,481
0569,216,569
0542,217,542
1146,218,1146
0573,219,573
0681,220,681
0401,221,401
1321,222,1321
1176,223,1176
0155,224,155
1072,225,1072
0097,226,97
0735,227,735
0005,228,5
0643,229,643
1202,230,1202
0086,231,86
0323,232,323
0409,233,409
0421,234,421
0073,235,73
0400,236,400
0236,237,236
0290,238,290
0936,239,936
0223,240,223
0007,241,7
1139,242,1139
0218,243,218
0384,244,384
1216,245,1216
1437,246,1437
0397,247,397
0049,248,49
0300,249,300
0098,250,98
