name,id,price,hash,rarityScore,rarityRank
Naru 09333,9333,,QmdiYi2bVvSVkzXiekcw4za1ec7kpbekz76T6zPSUrnFyE,709,53
Naru 03432,3432,,QmYfkzKX198xtAcit2UwAVjLpQyTeivbta1Ue4RWfFANtJ,708,54
Naru 09664,9664,,Qmas511fXBnhd9ERWqYoBicTwGyfCauXDHrSJ8Ev5RK7LH,704,55
Naru 03062,3062,,QmWbRswsUduWre3Zug3jQEaM91qDxtagD53sJusubRZfA6,703,56
Naru 02056,2056,,QmPJxLR9wk8Jqoraaf4xNqsizUHtNdhdEUCKMBRTesb5rK,702,57
Naru 00425,425,50000000000,QmdjYXz4uYQq8p63PDFn6KHbqZ9fHak2gVP1iL7qLDYso7,699,58
Naru 08569,8569,,QmZgYQxMpxzQjBxSEr7zj5rQsLb1BtXGofcHf2ZhQ3yCNy,694,59
Naru 07148,7148,,QmYAcXTa9afH2g35qjkqut44A1nwRANZm56T2y2V3mJbZc,693,60
Naru 03671,3671,,Qmcj1wLY1qKbfvpKhLcorLMCgqjzzZRo59ERXykZ6JKCsB,689,61
Naru 02853,2853,4600000000,QmT3KZZMEa12T59SqeAR9FtPZtkFW9TCchKM56At47epJ1,688,62
Naru 05272,5272,,QmakJMpjSEYzVYfpk4WRNHNrjsMHU4B8GXSCMBwkRgZEMR,685,63
Naru 03569,3569,,QmZFPH61Yy1HfSo399osqXKE7ir2sY5e1zoDdsVXeT1gBK,684,64
Naru 06579,6579,,QmYY48jQrgEVYPMWeU4Rn1VLNuqQqR6u99y8JUN8yupfpy,684,65
Naru 04587,4587,,QmeS3SoCUDTGpLyvaugQLM2MMaqM9atBdxYbADfsx3dDjR,683,66
Naru 04641,4641,,QmVjaxtZY8y2rA92PtS7CvWEhoXHxKURdKE2Acz3UquAot,681,67
Naru 04405,4405,,QmTQxqy57o5gFxdLVjd65MVabqbmMuN9ey3zHryr2xLxoq,678,68
